sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
321;SDS011;148;51.480;7.208;2023-01-03T15:47:42;3.50;;;2.10;;
321;SDS011;148;51.480;7.208;2023-01-03T15:50:15;4.60;;;2.40;;
321;SDS011;148;51.480;7.208;2023-01-03T15:52:45;4.30;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T15:55:11;3.47;;;2.23;;
321;SDS011;148;51.480;7.208;2023-01-03T15:57:37;4.33;;;2.10;;
321;SDS011;148;51.480;7.208;2023-01-03T16:00:04;3.97;;;2.27;;
321;SDS011;148;51.480;7.208;2023-01-03T16:02:32;2.27;;;1.83;;
321;SDS011;148;51.480;7.208;2023-01-03T16:04:57;15.40;;;4.57;;
321;SDS011;148;51.480;7.208;2023-01-03T16:07:23;2.20;;;2.00;;
321;SDS011;148;51.480;7.208;2023-01-03T16:09:50;4.20;;;2.30;;
321;SDS011;148;51.480;7.208;2023-01-03T16:12:29;3.90;;;2.10;;
321;SDS011;148;51.480;7.208;2023-01-03T16:14:57;3.73;;;2.10;;
321;SDS011;148;51.480;7.208;2023-01-03T16:17:24;4.80;;;2.17;;
321;SDS011;148;51.480;7.208;2023-01-03T16:19:52;8.80;;;2.80;;
321;SDS011;148;51.480;7.208;2023-01-03T16:22:20;2.13;;;1.97;;
321;SDS011;148;51.480;7.208;2023-01-03T16:24:56;5.40;;;3.57;;
321;SDS011;148;51.480;7.208;2023-01-03T16:27:22;21.33;;;6.83;;
321;SDS011;148;51.480;7.208;2023-01-03T16:29:49;9.33;;;3.70;;
321;SDS011;148;51.480;7.208;2023-01-03T16:32:19;4.87;;;2.63;;
321;SDS011;148;51.480;7.208;2023-01-03T16:34:51;6.17;;;2.30;;
321;SDS011;148;51.480;7.208;2023-01-03T16:37:28;5.30;;;2.37;;
321;SDS011;148;51.480;7.208;2023-01-03T16:39:54;8.97;;;3.00;;
321;SDS011;148;51.480;7.208;2023-01-03T16:42:20;12.67;;;3.20;;
321;SDS011;148;51.480;7.208;2023-01-03T16:44:51;5.90;;;3.30;;
321;SDS011;148;51.480;7.208;2023-01-03T16:47:21;12.20;;;3.13;;
321;SDS011;148;51.480;7.208;2023-01-03T16:49:50;8.53;;;3.30;;
321;SDS011;148;51.480;7.208;2023-01-03T16:52:21;9.70;;;3.20;;
321;SDS011;148;51.480;7.208;2023-01-03T16:54:50;12.10;;;3.43;;
321;SDS011;148;51.480;7.208;2023-01-03T16:57:17;4.63;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T16:59:44;4.90;;;2.60;;
321;SDS011;148;51.480;7.208;2023-01-03T17:02:10;5.47;;;2.87;;
321;SDS011;148;51.480;7.208;2023-01-03T17:04:36;4.60;;;3.10;;
321;SDS011;148;51.480;7.208;2023-01-03T17:07:01;8.57;;;3.43;;
321;SDS011;148;51.480;7.208;2023-01-03T17:09:31;80.57;;;26.03;;
321;SDS011;148;51.480;7.208;2023-01-03T17:12:04;5.83;;;3.60;;
321;SDS011;148;51.480;7.208;2023-01-03T17:14:30;6.43;;;3.47;;
321;SDS011;148;51.480;7.208;2023-01-03T17:17:00;4.43;;;3.43;;
321;SDS011;148;51.480;7.208;2023-01-03T17:19:26;4.13;;;2.90;;
321;SDS011;148;51.480;7.208;2023-01-03T17:21:52;7.17;;;3.50;;
321;SDS011;148;51.480;7.208;2023-01-03T17:24:20;6.77;;;3.60;;
321;SDS011;148;51.480;7.208;2023-01-03T17:26:50;10.17;;;3.13;;
321;SDS011;148;51.480;7.208;2023-01-03T17:29:23;7.50;;;3.07;;
321;SDS011;148;51.480;7.208;2023-01-03T17:31:50;7.37;;;3.37;;
321;SDS011;148;51.480;7.208;2023-01-03T17:34:26;5.43;;;3.07;;
321;SDS011;148;51.480;7.208;2023-01-03T17:36:52;6.60;;;2.93;;
321;SDS011;148;51.480;7.208;2023-01-03T17:39:19;6.03;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T17:41:45;4.60;;;3.00;;
321;SDS011;148;51.480;7.208;2023-01-03T17:44:30;7.00;;;3.40;;
321;SDS011;148;51.480;7.208;2023-01-03T17:46:59;15.13;;;4.20;;
321;SDS011;148;51.480;7.208;2023-01-03T17:49:58;7.90;;;2.97;;
321;SDS011;148;51.480;7.208;2023-01-03T17:52:26;9.00;;;2.93;;
321;SDS011;148;51.480;7.208;2023-01-03T17:54:54;9.30;;;3.47;;
321;SDS011;148;51.480;7.208;2023-01-03T17:57:20;6.50;;;2.67;;
321;SDS011;148;51.480;7.208;2023-01-03T17:59:46;6.97;;;2.77;;
321;SDS011;148;51.480;7.208;2023-01-03T18:02:17;8.43;;;3.23;;
321;SDS011;148;51.480;7.208;2023-01-03T18:04:48;4.20;;;2.93;;
321;SDS011;148;51.480;7.208;2023-01-03T18:07:24;7.50;;;3.40;;
321;SDS011;148;51.480;7.208;2023-01-03T18:09:57;7.10;;;3.20;;
321;SDS011;148;51.480;7.208;2023-01-03T18:12:23;9.33;;;3.00;;
321;SDS011;148;51.480;7.208;2023-01-03T18:14:50;9.07;;;3.60;;
321;SDS011;148;51.480;7.208;2023-01-03T18:17:29;7.73;;;3.23;;
321;SDS011;148;51.480;7.208;2023-01-03T18:19:56;7.03;;;3.20;;
321;SDS011;148;51.480;7.208;2023-01-03T18:22:23;7.60;;;3.50;;
321;SDS011;148;51.480;7.208;2023-01-03T18:24:49;4.73;;;2.93;;
321;SDS011;148;51.480;7.208;2023-01-03T18:27:16;5.30;;;3.30;;
321;SDS011;148;51.480;7.208;2023-01-03T18:29:42;5.77;;;3.60;;
321;SDS011;148;51.480;7.208;2023-01-03T18:32:27;4.47;;;2.63;;
321;SDS011;148;51.480;7.208;2023-01-03T18:34:55;9.60;;;3.27;;
321;SDS011;148;51.480;7.208;2023-01-03T18:37:22;6.73;;;3.10;;
321;SDS011;148;51.480;7.208;2023-01-03T18:39:53;8.97;;;3.70;;
321;SDS011;148;51.480;7.208;2023-01-03T18:42:19;5.60;;;3.17;;
321;SDS011;148;51.480;7.208;2023-01-03T18:45:04;6.93;;;3.03;;
321;SDS011;148;51.480;7.208;2023-01-03T18:47:30;3.93;;;3.30;;
321;SDS011;148;51.480;7.208;2023-01-03T18:49:56;4.87;;;3.37;;
321;SDS011;148;51.480;7.208;2023-01-03T18:52:25;8.47;;;3.30;;
321;SDS011;148;51.480;7.208;2023-01-03T18:54:56;5.50;;;3.17;;
321;SDS011;148;51.480;7.208;2023-01-03T18:57:22;7.30;;;3.10;;
321;SDS011;148;51.480;7.208;2023-01-03T18:59:48;6.97;;;3.50;;
321;SDS011;148;51.480;7.208;2023-01-03T19:02:14;9.77;;;3.23;;
321;SDS011;148;51.480;7.208;2023-01-03T19:04:42;9.40;;;3.13;;
321;SDS011;148;51.480;7.208;2023-01-03T19:07:11;16.50;;;3.43;;
321;SDS011;148;51.480;7.208;2023-01-03T19:09:54;9.60;;;3.10;;
321;SDS011;148;51.480;7.208;2023-01-03T19:12:20;6.33;;;2.80;;
321;SDS011;148;51.480;7.208;2023-01-03T19:14:46;9.00;;;3.30;;
321;SDS011;148;51.480;7.208;2023-01-03T19:17:12;10.60;;;2.83;;
321;SDS011;148;51.480;7.208;2023-01-03T19:19:40;6.80;;;2.77;;
321;SDS011;148;51.480;7.208;2023-01-03T19:22:27;4.67;;;2.47;;
321;SDS011;148;51.480;7.208;2023-01-03T19:24:54;5.57;;;2.90;;
321;SDS011;148;51.480;7.208;2023-01-03T19:27:26;4.97;;;3.27;;
321;SDS011;148;51.480;7.208;2023-01-03T19:30:17;10.93;;;2.87;;
321;SDS011;148;51.480;7.208;2023-01-03T19:32:47;5.13;;;2.53;;
321;SDS011;148;51.480;7.208;2023-01-03T19:35:20;16.47;;;3.50;;
321;SDS011;148;51.480;7.208;2023-01-03T19:37:47;9.50;;;3.07;;
321;SDS011;148;51.480;7.208;2023-01-03T19:40:17;7.93;;;3.47;;
321;SDS011;148;51.480;7.208;2023-01-03T19:42:54;5.60;;;2.77;;
321;SDS011;148;51.480;7.208;2023-01-03T19:47:56;9.20;;;3.17;;
321;SDS011;148;51.480;7.208;2023-01-03T19:52:54;11.53;;;4.37;;
321;SDS011;148;51.480;7.208;2023-01-03T19:55:21;11.80;;;3.77;;
321;SDS011;148;51.480;7.208;2023-01-03T19:57:55;4.40;;;2.73;;
321;SDS011;148;51.480;7.208;2023-01-03T20:00:24;5.97;;;2.87;;
321;SDS011;148;51.480;7.208;2023-01-03T20:02:55;5.40;;;3.10;;
321;SDS011;148;51.480;7.208;2023-01-03T20:05:25;6.40;;;2.80;;
321;SDS011;148;51.480;7.208;2023-01-03T20:07:59;7.03;;;2.67;;
321;SDS011;148;51.480;7.208;2023-01-03T20:10:36;6.70;;;3.23;;
321;SDS011;148;51.480;7.208;2023-01-03T20:13:04;9.17;;;3.23;;
321;SDS011;148;51.480;7.208;2023-01-03T20:15:34;8.00;;;2.87;;
321;SDS011;148;51.480;7.208;2023-01-03T20:18:05;9.43;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T20:20:50;6.20;;;3.17;;
321;SDS011;148;51.480;7.208;2023-01-03T20:23:18;13.50;;;3.10;;
