sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
321;SDS011;148;51.480;7.208;2023-02-23T18:23:10;56.70;;;18.53;;
321;SDS011;148;51.480;7.208;2023-02-23T18:25:35;63.87;;;21.37;;
321;SDS011;148;51.480;7.208;2023-02-23T18:28:01;65.20;;;23.00;;
321;SDS011;148;51.480;7.208;2023-02-23T18:30:27;66.67;;;21.23;;
321;SDS011;148;51.480;7.208;2023-02-23T18:32:56;65.17;;;20.60;;
321;SDS011;148;51.480;7.208;2023-02-23T18:35:24;53.23;;;18.20;;
321;SDS011;148;51.480;7.208;2023-02-23T18:37:50;51.50;;;18.57;;
321;SDS011;148;51.480;7.208;2023-02-23T18:40:15;54.90;;;21.20;;
321;SDS011;148;51.480;7.208;2023-02-23T18:42:45;53.90;;;19.20;;
321;SDS011;148;51.480;7.208;2023-02-23T18:45:13;51.13;;;18.50;;
321;SDS011;148;51.480;7.208;2023-02-23T18:47:40;51.27;;;18.67;;
321;SDS011;148;51.480;7.208;2023-02-23T18:50:06;56.27;;;18.80;;
321;SDS011;148;51.480;7.208;2023-02-23T18:52:35;50.70;;;18.37;;
321;SDS011;148;51.480;7.208;2023-02-23T18:55:02;54.40;;;20.10;;
321;SDS011;148;51.480;7.208;2023-02-23T18:57:29;57.97;;;19.50;;
321;SDS011;148;51.480;7.208;2023-02-23T18:59:54;52.77;;;18.03;;
321;SDS011;148;51.480;7.208;2023-02-23T19:02:20;46.40;;;17.00;;
321;SDS011;148;51.480;7.208;2023-02-23T19:04:49;51.73;;;17.27;;
321;SDS011;148;51.480;7.208;2023-02-23T19:07:16;51.00;;;17.63;;
321;SDS011;148;51.480;7.208;2023-02-23T19:09:42;48.33;;;17.07;;
321;SDS011;148;51.480;7.208;2023-02-23T19:12:11;47.30;;;16.67;;
321;SDS011;148;51.480;7.208;2023-02-23T19:14:38;56.37;;;17.93;;
321;SDS011;148;51.480;7.208;2023-02-23T19:17:05;51.13;;;18.07;;
321;SDS011;148;51.480;7.208;2023-02-23T19:19:31;55.60;;;17.97;;
321;SDS011;148;51.480;7.208;2023-02-23T19:21:56;46.00;;;16.67;;
321;SDS011;148;51.480;7.208;2023-02-23T19:24:22;43.30;;;16.43;;
321;SDS011;148;51.480;7.208;2023-02-23T19:26:48;52.97;;;18.73;;
321;SDS011;148;51.480;7.208;2023-02-23T19:29:14;50.33;;;17.90;;
321;SDS011;148;51.480;7.208;2023-02-23T19:31:40;49.00;;;18.50;;
321;SDS011;148;51.480;7.208;2023-02-23T19:34:06;48.37;;;17.77;;
321;SDS011;148;51.480;7.208;2023-02-23T19:36:32;57.53;;;17.97;;
321;SDS011;148;51.480;7.208;2023-02-23T19:39:00;52.90;;;19.13;;
321;SDS011;148;51.480;7.208;2023-02-23T19:41:34;48.40;;;17.73;;
321;SDS011;148;51.480;7.208;2023-02-23T19:44:00;46.40;;;16.93;;
321;SDS011;148;51.480;7.208;2023-02-23T19:46:27;52.13;;;17.50;;
321;SDS011;148;51.480;7.208;2023-02-23T19:48:53;50.23;;;17.70;;
321;SDS011;148;51.480;7.208;2023-02-23T19:51:19;56.13;;;16.60;;
321;SDS011;148;51.480;7.208;2023-02-23T19:53:45;53.37;;;17.57;;
321;SDS011;148;51.480;7.208;2023-02-23T19:56:12;45.83;;;18.00;;
321;SDS011;148;51.480;7.208;2023-02-23T19:58:38;42.50;;;16.50;;
321;SDS011;148;51.480;7.208;2023-02-23T20:01:10;48.93;;;17.20;;
321;SDS011;148;51.480;7.208;2023-02-23T20:03:43;48.27;;;17.43;;
321;SDS011;148;51.480;7.208;2023-02-23T20:06:14;55.17;;;18.33;;
321;SDS011;148;51.480;7.208;2023-02-23T20:08:41;45.70;;;17.67;;
321;SDS011;148;51.480;7.208;2023-02-23T20:11:08;52.03;;;18.10;;
321;SDS011;148;51.480;7.208;2023-02-23T20:13:35;38.67;;;15.77;;
321;SDS011;148;51.480;7.208;2023-02-23T20:16:06;47.43;;;18.53;;
321;SDS011;148;51.480;7.208;2023-02-23T20:18:34;47.63;;;17.80;;
321;SDS011;148;51.480;7.208;2023-02-23T20:21:06;49.47;;;17.40;;
321;SDS011;148;51.480;7.208;2023-02-23T20:23:37;51.60;;;17.00;;
321;SDS011;148;51.480;7.208;2023-02-23T20:26:07;47.00;;;18.23;;
321;SDS011;148;51.480;7.208;2023-02-23T20:28:35;47.03;;;18.73;;
321;SDS011;148;51.480;7.208;2023-02-23T20:31:01;48.17;;;18.27;;
321;SDS011;148;51.480;7.208;2023-02-23T20:33:28;51.13;;;18.40;;
321;SDS011;148;51.480;7.208;2023-02-23T20:35:55;51.27;;;18.40;;
321;SDS011;148;51.480;7.208;2023-02-23T20:38:21;49.07;;;20.40;;
321;SDS011;148;51.480;7.208;2023-02-23T20:40:47;43.50;;;18.20;;
321;SDS011;148;51.480;7.208;2023-02-23T20:43:14;48.47;;;17.30;;
321;SDS011;148;51.480;7.208;2023-02-23T20:45:39;46.50;;;18.47;;
321;SDS011;148;51.480;7.208;2023-02-23T20:48:05;49.50;;;18.70;;
